year,month,total,min,max
1952,10,25.40,0.00,49.00
1952,11,20.30,0.00,39.80
1953,12,15.50,0.00,41.50
1953,1,146.10,0.00,947.60
1953,2,92.70,0.00,265.10
1953,3,156.70,0.00,682.00
1953,4,77.00,0.00,254.50
1953,5,40.60,0.00,68.60
1953,6,10.20,0.00,35.80
1953,7,23.90,0.00,105.50
1953,8,15.00,0.00,43.50
1953,9,100.30,0.00,133.80
1953,10,14.20,0.00,16.50
1953,11,19.10,0.00,54.90
1954,12,38.40,0.00,125.90
1954,1,59.90,0.00,288.30
1954,2,59.90,0.00,327.80
1954,3,86.60,0.00,321.90
1954,4,42.70,0.00,287.60
1954,5,35.10,0.00,76.20
1954,6,24.10,0.00,101.30
1954,7,17.50,0.00,41.20
1954,8,20.60,0.00,110.00
1954,9,4.10,0.00,11.10
1954,10,35.10,0.00,120.70
1954,11,7.60,0.00,18.20
1955,12,17.50,0.00,65.90
1955,1,53.30,0.00,149.80
1955,2,127.00,0.00,923.60
1955,3,156.50,0.00,683.60
1955,4,54.60,0.00,205.80
1955,5,52.60,0.00,187.50
1955,6,48.50,0.00,179.00
1955,7,6.10,0.00,25.20
1955,8,13.70,0.00,31.30
1955,9,14.20,0.00,66.30
1955,10,28.20,0.00,55.60
1955,11,51.60,0.00,133.10
1956,12,15.20,0.00,30.20
1956,1,114.30,0.00,440.10
1956,2,50.30,0.00,271.10
1956,3,166.60,0.00,543.80
1956,4,33.50,0.00,164.50
1956,5,18.00,0.00,46.40
1956,6,27.70,0.00,46.20
1956,7,16.00,0.00,21.10
1956,8,13.20,0.00,29.00
1956,9,13.00,0.00,26.20
1956,10,19.30,0.00,35.30
1956,11,16.30,0.00,39.00
1957,12,83.10,0.00,373.80
1957,1,147.60,0.00,689.30
1957,2,149.10,0.00,428.70
1957,3,176.30,0.00,510.30
1957,4,36.10,0.00,116.90
1957,5,45.70,0.00,142.80
1957,6,30.70,0.00,130.10
1957,7,6.10,0.00,39.70
1957,8,0.00,0.00,0.00
1957,9,0.80,0.00,0.80
1957,10,54.90,0.00,69.40
1957,11,54.90,0.00,80.30
1958,12,30.20,0.00,57.40
1958,1,88.40,0.00,361.60
1958,2,136.10,0.00,527.10
1958,3,179.10,0.00,522.00
1958,4,137.90,0.00,265.00
1958,5,24.40,0.00,114.50
1958,6,29.70,0.00,79.70
1958,7,0.00,0.00,0.00
1958,8,14.70,0.00,41.40
1958,9,4.30,0.00,8.90
1958,10,1.30,0.00,2.30
1958,11,20.80,0.00,55.70
1959,12,48.30,0.00,87.90
1959,1,181.90,0.00,541.30
1959,2,77.20,0.00,299.40
1959,3,167.90,0.00,808.50
1959,4,36.30,0.00,176.90
1959,5,18.00,0.00,175.10
1959,6,49.80,0.00,121.30
1959,7,12.70,0.00,48.00
1959,8,28.40,0.00,127.20
1959,9,17.50,0.00,79.40
1959,10,0.00,0.00,0.00
1959,11,17.50,0.00,72.10
1960,12,121.90,0.00,295.10
1960,1,144.80,0.00,668.30
1960,2,99.60,0.00,278.40
1960,3,69.30,0.00,371.00
1960,4,10.20,0.00,47.00
1960,5,10.40,0.00,26.40
1960,6,22.10,0.00,83.70
1960,7,21.60,0.00,79.70
1960,8,3.00,0.00,10.30
1960,9,1.00,0.00,1.00
1960,10,15.00,0.00,19.60
1960,11,4.10,0.00,15.00
1961,12,14.20,0.00,53.30
1961,1,62.50,0.00,168.60
1961,2,18.80,0.00,81.00
1961,3,95.80,0.00,332.50
1961,4,31.00,0.00,169.60
1961,5,53.60,0.00,117.00
1961,6,2.80,0.00,8.10
1961,7,7.90,0.00,19.90
1961,8,8.90,0.00,18.30
1961,9,12.20,0.00,25.30
1961,10,18.80,0.00,26.60
1961,11,13.70,0.00,47.50
1962,12,43.40,0.00,126.60
1962,1,124.70,0.00,525.80
1962,2,130.60,0.00,478.40
1962,3,41.90,0.00,144.00
1962,4,41.70,0.00,140.10
1962,5,7.10,0.00,15.50
1962,6,30.70,0.00,109.00
1962,7,27.70,0.00,85.70
1962,8,14.20,0.00,17.50
1962,9,80.00,0.00,128.10
1962,10,0.00,0.00,0.00
1962,11,16.80,0.00,28.90
1963,12,7.10,0.00,44.60
1963,1,155.70,0.00,623.90
1963,2,169.20,0.00,959.40
1963,3,58.20,0.00,242.40
1963,4,240.80,0.00,524.70
1963,5,61.00,0.00,131.90
1963,6,17.80,0.00,30.10
1963,7,5.10,0.00,8.90
1963,8,8.90,0.00,13.00
1963,9,6.90,0.00,12.20
1963,10,16.00,0.00,65.00
1963,11,16.80,0.00,41.90
1964,12,40.60,0.00,114.40
1964,1,106.70,0.00,436.10
1964,2,136.10,0.00,393.70
1964,3,298.50,0.00,745.80
1964,4,42.90,0.00,121.50
1964,5,156.20,0.00,408.20
1964,6,4.60,0.00,10.20
1964,7,12.40,0.00,36.60
1964,8,7.90,0.00,22.20
1964,9,28.20,0.00,95.40
1964,10,38.40,0.00,136.00
1964,11,25.70,0.00,81.80
1965,12,233.90,0.00,296.70
1965,1,45.70,0.00,223.40
1965,2,110.00,0.00,376.50
1965,3,84.30,0.00,417.00
1965,4,75.90,0.00,249.30
1965,5,35.80,0.00,184.20
1965,6,62.20,0.00,220.80
1965,7,16.30,0.00,23.60
