year,month,total,min,max
1981,7,12.00,0.00,31.00
1981,8,0.00,0.00,0.00
1981,9,7.00,0.00,34.00
1981,10,22.00,0.00,47.00
1981,11,87.00,0.00,297.00
1982,12,29.00,0.00,108.00
1982,1,43.00,0.00,164.00
1982,2,67.00,0.00,123.00
1982,3,25.00,0.00,159.00
1982,4,77.00,0.00,200.00
1982,5,4.00,0.00,21.00
1982,6,6.00,0.00,11.00
1982,7,0.00,0.00,0.00
1982,8,7.00,0.00,46.00
1982,9,0.00,0.00,0.00
1982,10,0.00,0.00,0.00
1982,11,5.00,0.00,10.00
1983,12,28.00,0.00,109.00
1983,1,25.00,0.00,64.00
1983,2,35.00,0.00,51.00
1983,3,95.00,0.00,254.00
1983,4,62.00,0.00,172.00
1983,5,34.00,0.00,154.00
1983,6,16.00,0.00,42.00
1983,7,5.00,0.00,13.20
1983,8,7.00,0.00,25.00
1983,9,44.00,0.00,55.00
1983,10,6.00,0.00,13.00
1983,11,92.00,0.00,232.00
1984,12,26.00,0.00,62.00
1984,1,59.00,0.00,184.00
1984,2,52.00,0.00,213.00
1984,3,12.00,0.00,49.00
1984,4,8.00,0.00,26.00
1984,5,8.00,0.00,28.00
1984,6,9.00,0.00,23.00
1984,7,20.00,0.00,49.00
1984,8,3.00,0.00,3.00
1984,9,6.00,0.00,10.00
1984,10,7.00,0.00,11.00
1984,11,38.00,0.00,157.00
1985,12,31.00,0.00,130.00
1985,1,79.00,0.00,236.00
1985,2,90.00,0.00,214.00
1985,3,69.00,0.00,285.00
1985,4,25.00,0.00,83.00
1985,5,21.00,0.00,72.00
1985,6,2.00,0.00,8.00
1985,7,8.00,0.00,20.00
1985,8,1.00,0.00,1.00
1985,9,2.00,0.00,7.00
1985,10,30.00,0.00,90.00
1985,11,29.00,0.00,74.00
1986,12,5.00,0.00,18.00
1986,1,118.00,0.00,354.00
1986,2,63.00,0.00,195.00
1986,3,32.00,0.00,144.00
1986,4,44.00,0.00,140.00
1986,5,9.00,0.00,41.00
1986,6,10.00,0.00,33.00
1986,7,3.00,0.00,8.00
1986,8,13.00,0.00,22.00
1986,9,2.00,0.00,9.00
1986,10,7.00,0.00,13.00
1986,11,19.00,0.00,37.00
1987,12,23.00,0.00,48.00
1987,1,36.00,0.00,78.00
1987,2,47.00,0.00,179.00
1987,3,77.00,0.00,169.00
1987,4,45.00,0.00,115.00
1987,5,15.00,0.00,51.00
1987,6,19.00,0.00,72.00
1987,7,25.00,0.00,37.00
1987,8,4.00,0.00,4.00
1987,9,5.00,0.00,26.00
1987,10,27.00,0.00,40.00
1987,11,34.00,0.00,124.00
1988,12,55.00,0.00,185.00
1988,1,5.00,0.00,21.00
1988,2,60.00,0.00,187.00
1988,3,31.00,0.00,155.00
1988,4,11.00,0.00,52.00
1988,5,30.00,0.00,78.00
1988,6,5.00,0.00,15.00
1988,7,8.00,0.00,47.00
1988,8,50.00,0.00,87.00
1988,9,8.00,0.00,20.00
1988,10,21.00,0.00,38.00
1988,11,29.00,0.00,132.00
1989,12,47.00,0.00,270.00
1989,1,47.00,0.00,216.00
1989,2,46.00,0.00,146.00
1989,3,82.00,0.00,448.00
1989,4,82.00,0.00,252.00
1989,5,40.00,0.00,116.00
1989,6,42.00,0.00,60.00
1989,7,5.00,0.00,13.00
1989,8,3.00,0.00,10.00
1989,9,2.00,0.00,6.00
1989,10,2.00,0.00,3.00
1989,11,109.00,0.00,239.00
1990,12,54.00,0.00,94.00
1990,1,20.00,0.00,54.00
1990,2,4.00,0.00,16.00
1990,3,140.00,0.00,609.00
1990,4,61.00,0.00,201.00
1990,5,21.00,0.00,177.00
1990,6,77.00,0.00,95.00
1990,7,4.00,0.00,20.00
1990,8,0.00,0.00,0.00
1990,9,6.00,0.00,41.00
1990,10,17.00,0.00,21.00
1990,11,5.00,0.00,9.00
1991,12,74.00,0.00,298.00
1991,1,97.00,0.00,583.00
1991,2,78.00,0.00,453.00
1991,3,12.00,0.00,34.00
1991,4,8.00,0.00,48.00
1991,5,10.00,0.00,54.00
1991,6,4.00,0.00,13.00
1991,7,5.00,0.00,12.00
1991,8,4.00,0.00,8.00
1991,9,0.00,0.00,0.00
1991,10,0.00,0.00,0.00
1991,11,48.00,0.00,82.00
1992,12,54.00,0.00,176.00
1992,1,62.00,0.00,160.00
1992,2,50.00,0.00,205.00
1992,3,24.00,0.00,91.00
1992,4,12.00,0.00,62.00
1992,5,12.00,0.00,61.00
1992,6,7.00,0.00,11.00
1992,7,7.00,0.00,33.00
1992,8,7.00,0.00,9.00
1992,9,33.00,0.00,58.00
1992,10,1.00,0.00,3.00
1992,11,5.00,0.00,14.00
1993,12,43.00,0.00,175.00
1993,1,40.00,0.00,170.00
1993,2,26.00,0.00,161.00
1993,3,9.00,0.00,23.00
1993,4,15.00,0.00,81.00
1993,5,10.00,0.00,53.00
1993,6,5.00,0.00,29.00
1993,7,12.00,0.00,52.00
1993,8,6.00,0.00,35.00
1993,9,14.00,0.00,29.00
1993,10,19.00,0.00,34.00
1993,11,84.00,0.00,95.00
1994,12,33.00,0.00,85.00
1994,1,128.00,0.00,247.00
1994,2,54.00,0.00,310.00
1994,3,34.00,0.00,108.00
1994,4,48.00,0.00,98.00
1994,5,8.00,0.00,23.00
1994,6,12.00,0.00,28.00
1994,7,13.00,0.00,61.00
1994,8,5.00,0.00,27.00
1994,9,4.00,0.00,8.00
1994,10,7.00,0.00,10.00
1994,11,14.00,0.00,19.00
1995,12,3.60,0.00,17.20
1995,1,34.00,0.00,64.00
1995,2,76.00,0.00,394.80
1995,3,103.00,0.00,278.00
1995,4,29.00,0.00,40.00
1995,5,7.00,0.00,40.00
1995,6,8.00,0.00,41.60
1995,7,6.00,0.00,6.00
1995,8,46.00,0.00,138.40
1995,9,0.00,0.00,0.00
1995,10,25.00,0.00,60.00
1995,11,51.00,0.00,89.00
1996,12,56.00,0.00,112.00
1996,1,40.00,0.00,196.00
1996,2,37.00,0.00,119.00
1996,3,60.00,0.00,298.00
1996,4,49.00,0.00,138.00
1996,5,27.00,0.00,89.00
1996,6,11.00,0.00,51.00
1996,7,21.00,0.00,34.00
1996,8,2.00,0.00,4.00
1996,9,7.00,0.00,7.00
1996,10,61.00,0.00,96.00
1996,11,32.00,0.00,75.00
1997,12,17.00,0.00,78.00
1997,1,25.00,0.00,186.00
1997,2,48.00,0.00,184.00
1997,3,198.00,0.00,411.00
1997,4,12.00,0.00,58.00
1997,5,28.00,0.00,61.00
1997,6,6.00,0.00,24.00
1997,7,6.00,0.00,24.00
1997,8,23.00,0.00,43.00
1997,9,23.00,0.00,31.00
1997,10,3.00,0.00,5.00
1997,11,13.00,0.00,23.00
1998,12,41.00,0.00,201.00
1998,1,89.00,0.00,387.00
1998,2,95.00,0.00,183.00
1998,3,12.00,0.00,62.00
1998,4,10.00,0.00,33.00
1998,5,19.00,0.00,45.00
1998,6,4.00,0.00,14.00
1998,7,20.00,0.00,44.00
1998,8,1.00,0.00,3.00
1998,9,16.00,0.00,38.00
1998,10,30.00,0.00,47.00
1998,11,32.00,0.00,150.00
1999,12,20.00,0.00,77.00
1999,1,86.00,0.00,346.00
1999,2,280.00,0.00,709.00
1999,3,154.00,0.00,432.00
1999,4,18.00,0.00,91.00
1999,5,5.00,0.00,26.00
1999,6,7.00,0.00,25.00
1999,7,20.00,0.00,41.00
1999,8,12.00,0.00,31.00
1999,9,15.00,0.00,37.00
1999,10,5.00,0.00,12.00
1999,11,33.00,0.00,139.00
2000,12,59.00,0.00,184.00
2000,1,54.00,0.00,138.00
2000,2,201.00,0.00,926.00
2000,3,50.00,0.00,185.00
2000,4,30.00,0.00,156.00
2000,5,9.00,0.00,24.10
2000,6,14.00,0.00,30.20
2000,7,3.00,0.00,4.00
2000,8,4.00,0.00,12.00
2000,9,0.00,0.00,0.00
2000,10,4.00,0.00,13.00
2000,11,26.00,0.00,147.00
2001,12,40.00,0.00,180.00
2001,1,66.00,0.00,189.00
2001,2,133.00,0.00,543.00
2001,3,20.00,0.00,95.00
2001,4,21.00,0.00,51.00
2001,5,3.00,0.00,3.00
2001,6,7.00,0.00,62.00
2001,7,0.00,0.00,0.00
2001,8,0.00,0.00,0.00
2001,9,7.00,0.00,11.00
2001,10,33.00,0.00,44.00
2001,11,30.00,0.00,38.00
2002,12,39.00,0.00,85.00
2002,1,44.00,0.00,167.00
2002,2,63.00,0.00,196.00
2002,3,30.00,0.00,60.00
2002,4,12.00,0.00,69.00
2002,5,16.00,0.00,39.00
2002,6,26.00,0.00,30.00
2002,7,4.00,0.00,11.00
2002,8,8.00,0.00,22.00
2002,9,2.00,0.00,3.00
2002,10,0.00,0.00,0.00
2002,11,24.00,0.00,25.00
2003,12,24.00,0.00,60.00
2003,1,98.00,0.00,199.20
2003,2,29.40,0.00,135.50
2003,3,54.60,0.00,122.70
2003,4,25.00,0.00,95.30
2003,5,12.40,0.00,69.50
2003,6,12.30,0.00,36.90
2003,7,3.80,0.00,25.80
2003,8,3.20,0.00,9.00
2003,9,1.40,0.00,1.40
2003,10,15.60,0.00,24.10
2003,11,1.20,0.00,2.90
2004,12,142.20,0.00,272.00
2004,1,29.00,0.00,107.40
2004,2,88.20,0.00,592.90
2004,3,129.30,0.00,578.90
2004,4,39.00,0.00,130.60
2004,5,6.20,0.00,27.00
2004,6,2.80,0.00,17.70
2004,7,10.00,0.00,31.90
2004,8,5.00,0.00,5.00
2004,9,1.60,0.00,2.00
2004,10,28.40,0.00,39.80
2004,11,6.20,0.00,15.90
2005,12,50.20,0.00,173.80
2005,1,83.70,0.00,373.70
2005,2,36.40,0.00,93.20
2005,3,143.00,0.00,218.40
2005,4,15.50,0.00,89.00
2005,5,6.80,0.00,17.80
2005,6,4.00,0.00,25.60
2005,7,11.20,0.00,58.30
2005,8,29.20,0.00,72.30
2005,9,2.20,0.00,2.90
2005,10,33.20,0.00,53.80
2005,11,39.80,0.00,39.80
2006,12,39.80,0.00,105.60
2006,1,170.00,0.00,304.30
2006,2,26.20,0.00,94.30
2006,3,87.40,0.00,387.40
2006,4,135.20,0.00,311.10
2006,5,50.20,0.00,100.00
2006,6,15.00,0.00,47.40
2006,7,9.20,0.00,34.20
2006,8,3.40,0.00,9.00
2006,9,30.60,0.00,49.00
2006,10,7.40,0.00,28.20
2006,11,2.00,0.00,4.80
2007,12,53.20,0.00,82.10
2007,1,72.00,0.00,226.80
2007,2,72.20,0.00,360.60
2007,3,33.20,0.00,74.90
2007,4,4.40,0.00,34.50
2007,5,8.80,0.00,31.80
2007,6,16.00,0.00,56.50
2007,7,11.00,0.00,22.50
2007,8,4.60,0.00,15.40
2007,9,3.60,0.00,3.60
2007,10,7.60,0.00,16.20
2007,11,19.00,0.00,65.20
2008,12,94.60,0.00,183.20
2008,1,133.40,0.00,325.90
2008,2,129.00,0.00,557.40
2008,3,199.40,0.00,514.40
2008,4,4.20,0.00,8.20
2008,5,10.80,0.00,20.80
2008,6,3.80,0.00,16.40
2008,7,19.60,0.00,52.00
2008,8,1.40,0.00,2.00
2008,9,8.40,0.00,21.70
2008,10,6.40,0.00,18.40
2008,11,87.00,0.00,107.20
2009,12,63.80,0.00,120.80
2009,1,60.00,0.00,514.20
2009,2,60.00,0.00,372.80
2009,3,38.00,0.00,121.60
2009,4,36.80,0.00,53.00
2009,5,9.20,0.00,43.90
2009,6,5.20,0.00,8.60
2009,7,1.60,0.00,2.00
2009,8,3.00,0.00,4.00
2009,9,0.00,0.00,0.00
2009,10,4.00,0.00,7.80
2009,11,58.20,0.00,84.00
2010,12,29.00,0.00,46.80
2010,1,66.80,0.00,446.60
2010,2,28.00,0.00,212.60
2010,3,23.00,0.00,122.10
2010,4,13.50,0.00,52.80
2010,5,3.80,0.00,14.10
2010,6,4.00,0.00,15.00
2010,7,7.00,0.00,27.30
2010,8,13.50,0.00,33.50
2010,9,6.80,0.00,28.10
2010,10,10.30,0.00,57.30
2010,11,38.60,0.00,183.00
2011,12,98.60,0.00,362.20
2011,1,94.40,0.00,521.70
2011,2,65.00,0.00,393.20
2011,3,44.20,0.00,303.00
2011,4,8.00,0.00,30.90
2011,5,5.40,0.00,22.40
2011,6,15.30,0.00,37.30
2011,7,2.20,0.00,6.00
2011,8,4.20,0.00,14.00
2011,9,4.00,0.00,4.00
2011,10,31.00,0.00,78.20
2011,11,22.60,0.00,40.70
2012,12,36.00,0.00,185.50
2012,1,53.40,0.00,197.60
2012,2,28.00,0.00,132.80
2012,3,121.20,0.00,427.00
2012,4,10.80,0.00,28.60
2012,5,25.00,0.00,77.00
2012,6,33.60,0.00,40.20
2012,7,37.60,0.00,44.20
2012,8,8.20,0.00,9.60
2012,9,0.00,0.00,0.00
2012,10,0.00,0.00,0.00
2012,11,27.00,0.00,34.60
2013,12,27.40,0.00,28.40
2013,1,116.40,0.00,314.20
2013,2,24.20,0.00,73.40
2013,3,42.00,0.00,125.90
2013,4,26.00,0.00,76.20
2013,5,6.80,0.00,29.00
2013,6,6.60,0.00,14.60
2013,7,4.40,0.00,24.20
2013,8,0.00,0.00,0.00
2013,9,6.20,0.00,18.60
2013,10,6.20,0.00,21.00
2013,11,74.00,0.00,135.20
2014,12,13.80,0.00,29.80
2014,1,31.80,0.00,91.40
2014,2,107.80,0.00,263.80
2014,3,68.80,0.00,170.40
2014,4,99.00,0.00,226.20
2014,5,8.20,0.00,42.40
2014,6,42.00,0.00,116.80
2014,7,2.80,0.00,16.10
2014,8,7.60,0.00,19.40
2014,9,0.00,0.00,0.00
2014,10,0.00,0.00,0.00
2014,11,0.00,0.00,0.00
2015,12,0.00,0.00,0.00
2015,1,70.00,0.00,263.10
2015,2,217.00,0.00,431.90
2015,3,94.40,0.00,193.60
2015,4,11.00,0.00,46.70
2015,5,4.40,0.00,14.60
2015,6,28.60,0.00,89.40
2015,7,4.60,0.00,17.80
2015,8,2.60,0.00,2.60
2015,9,5.40,0.00,8.00
2015,10,4.40,0.00,8.00
2015,11,24.50,0.00,46.60
2016,12,38.40,0.00,227.80
2016,1,24.00,0.00,64.00
2016,2,18.50,0.00,86.10
2016,3,26.00,0.00,152.70
2016,4,8.50,0.00,47.60
2016,5,58.50,0.00,101.20
2016,6,9.00,0.00,40.60
2016,7,9.00,0.00,35.50
2016,8,5.60,0.00,25.80
2016,9,5.60,0.00,23.10
2016,10,3.20,0.00,7.20
2016,11,15.50,0.00,31.40
2017,12,36.50,0.00,82.50
2017,1,91.00,0.00,563.00
2017,2,40.00,0.00,164.20
2017,3,14.00,0.00,67.00
2017,4,14.00,0.00,53.00
2017,5,9.00,0.00,52.00
2017,6,8.50,0.00,50.50
2017,7,8.50,0.00,27.50
2017,8,2.00,0.00,3.00
2017,9,19.00,0.00,27.00
2017,10,4.50,0.00,4.50
2017,11,12.00,0.00,41.60
2018,12,36.00,0.00,36.00
2018,1,85.00,0.00,284.00
2018,2,93.00,0.00,287.10
2018,3,159.00,0.00,551.50
2018,4,8.00,0.00,30.50
2018,5,4.50,0.00,23.00
2018,6,6.00,0.00,24.50
2018,7,7.50,0.00,16.50
2018,8,4.00,0.00,6.00
2018,9,1.00,0.00,3.00
2018,10,2.50,0.00,5.50
2018,11,20.00,0.00,42.00
2019,12,135.00,0.00,546.00
2019,1,158.50,0.00,407.70
2019,2,75.00,0.00,213.10
2019,3,34.50,0.00,178.40
2019,4,35.50,0.00,115.20
2019,5,6.80,0.00,51.20
2019,6,7.00,0.00,27.30
2019,7,14.50,0.00,42.00
2019,8,8.90,0.00,20.20
2019,9,1.40,0.00,1.40
2019,10,0.00,0.00,0.00
2019,11,0.00,0.00,0.00
2020,12,21.00,0.00,65.80
2020,1,67.00,0.00,292.00
2020,2,26.50,0.00,161.70
2020,3,57.50,0.00,222.50
2020,4,10.00,0.00,31.00
2020,5,18.00,0.00,72.00
2020,6,8.00,0.00,45.00
2020,7,8.50,0.00,21.00
2020,8,18.50,0.00,33.50
2020,9,9.00,0.00,45.00
2020,10,15.50,0.00,20.00
2020,11,3.00,0.00,7.50
2021,12,64.00,0.00,176.00
2021,1,64.00,0.00,451.00
2021,2,41.00,0.00,212.90
2021,3,72.00,0.00,155.50
2021,4,61.00,0.00,366.00
2021,5,6.50,0.00,41.00
2021,6,15.50,0.00,45.30
2021,7,10.00,0.00,24.50
